decade	coll	going_to_norm	will_norm	joint_freq	diff
1810	give	2.54017283335958	42.3362138893264	44.876386722686	-39.7960410559668
1810	go	0	33.0222468336746	33.0222468336746	-33.0222468336746
1810	grow	0	4.23362138893264	4.23362138893264	-4.23362138893264
1810	handle	0	0	0	0
1810	hang	0	0	0	0
1810	happen	0	4.23362138893264	4.23362138893264	-4.23362138893264
1810	hate	0	0	0	0
1810	have	0	93.9863948343045	93.9863948343045	-93.9863948343045
1810	hear	0	7.62051850007875	7.62051850007875	-7.62051850007875
1810	help	0	3.38689711114611	3.38689711114611	-3.38689711114611
1810	hire	0	0	0	0
1810	hit	0	0	0	0
1810	hold	0	6.77379422229222	6.77379422229222	-6.77379422229222
1810	hunt	0	0	0	0
1810	hurt	0	0	0	0
1810	improve	0	0.846724277786527	0.846724277786527	-0.846724277786527
